INTEGER;DOUBLE;DOUBLE;DOUBLE;DOUBLE;CATEGORICAL
66;6.5;3;5.8;2.2;1
67;6.8;3;5.5;2.1;1
68;5.8;2.8;5.1;2.4;1
69;6.9;3.2;5.7;2.3;1
70;6.7;3.3;5.7;2.1;1
71;6.4;2.8;5.6;2.1;1
72;7.4;2.8;6.1;1.9;1
73;6.9;3.1;5.4;2.1;1
74;4.9;3;1.4;0.2;1
75;4.3;3;1.1;0.1;1
76;5.2;3.5;1.5;0.2;1
77;5.2;4.1;1.5;0.1;1
78;6.7;3.1;4.4;1.4;1
79;7.6;3;6.6;2.1;1
80;6.4;2.7;5.3;1.9;1
81;7.2;3;5.8;1.6;1
82;6.3;3.4;5.6;2.4;1
83;5.7;4.4;1.5;0.4;1
84;4.6;3.6;1;0.2;1
85;5.1;3.3;1.7;0.5;1
86;4.4;3.2;1.3;0.2;2
87;5;3.3;1.4;0.2;2
88;7;3.2;4.7;1.4;2
89;5.6;2.9;3.6;1.3;2
90;7.7;2.8;6.7;2;2
91;5.8;2.7;5.1;1.9;2
92;5.4;3.9;1.7;0.4;2
93;5.1;3.7;1.5;0.4;2
94;5.5;4.2;1.4;0.2;2
95;5.6;2.5;3.9;1.1;2
96;5.9;3.2;4.8;1.8;2
97;5.7;2.6;3.5;1;2
98;4.9;2.5;4.5;1.7;2
99;6.1;2.6;5.6;1.4;2
100;6.7;3.1;5.6;2.4;2
101;4.7;3.2;1.3;0.2;2
102;5.4;3.4;1.7;0.2;2
103;5.1;3.4;1.5;0.2;2
104;5.1;3.8;1.6;0.2;2
105;6.2;2.2;4.5;1.5;2
106;5.8;2.7;3.9;1.2;2
107;6;2.7;5.1;1.6;5
108;5.1;2.5;3;1.1;5
109;6;2.2;5;1.5;5
110;5;3.4;1.5;0.2;5
111;4.8;3;1.4;0.1;5
112;4.7;3.2;1.6;0.2;5
113;4.9;3.1;1.5;0.2;5
114;5;3.5;1.3;0.3;5
115;5.1;3.8;1.9;0.4;5
116;5.3;3.7;1.5;0.2;5
117;6.1;2.8;4;1.3;5
118;5;2.3;3.3;1;5
119;5.7;2.9;4.2;1.3;5
120;6.3;2.9;5.6;1.8;5
121;7.2;3.6;6.1;2.5;5
122;7.7;2.6;6.9;2.3;5
123;7.2;3.2;6;1.8;5
124;5.4;3.7;1.5;0.2;5
125;5.8;4;1.2;0.2;5
126;5.9;3;4.2;1.5;5
127;5.4;3;4.5;1.5;5
128;5.6;2.7;4.2;1.3;7
129;6.2;2.8;4.8;1.8;7
130;6.7;3;5.2;2.3;7
131;6.2;3.4;5.4;2.3;7
132;5.4;3.4;1.5;0.4;7
133;4.9;3.6;1.4;0.1;7
134;6.9;3.1;4.9;1.5;7
135;6;2.9;4.5;1.5;7
136;6.3;3.3;6;2.5;7
137;7.3;2.9;6.3;1.8;7
138;6.5;3;5.5;1.8;7
139;6.3;2.8;5.1;1.5;7
140;5;3;1.6;0.2;7
141;4.8;3;1.4;0.3;7
142;4.6;3.2;1.4;0.2;7
143;6.7;3;5;1.7;7
144;5.5;2.4;3.7;1;7
145;5.5;2.6;4.4;1.2;7
146;5.8;2.6;4;1.2;7
147;5.7;2.8;4.1;1.3;7
148;7.7;3.8;6.7;2.2;7
149;6.4;3.1;5.5;1.8;7
