DOUBLE;INTEGER;DOUBLE;DOUBLE;DOUBLE;DOUBLE;INTEGER;CATEGORICAL;CATEGORICAL
mpg;cylinders;displacement;horsepower;weight;acceleration;model year;group
32.4;4;108;75;2350;16.8;81;4
32.4;4;107;72;2290;17;80;1
32.3;4;97;67;2065;17.8;81;7
32.2;4;108;75;2265;15.2;80;1
32.1;4;98;70;2120;15.5;80;7
32;4;91;67;1965;15.7;82;16
32;4;85;70;1990;17;76;16
32;4;83;61;2003;19;74;16
32;4;71;65;1836;21;74;18
32;4;144;96;2665;13.9;82;14
32;4;135;84;2295;11.6;82;1
31.9;4;89;71;1925;14;79;16
31.8;4;85;65;2020;19.2;79;16
31.6;4;120;74;2635;18.3;81;14
31.5;4;98;68;2045;18.5;77;16
31.5;4;89;71;1990;14.9;78;16
31.3;4;120;75;2542;17.5;80;9
31;4;91;68;1970;17.6;82;16
31;4;79;67;2000;16;74;16
31;4;79;67;1950;19;74;16
31;4;76;52;1649;16.5;74;18
31;4;71;65;1773;19;71;18
31;4;119;82;2720;19.4;82;14
31;4;112;85;2575;16.2;82;9
30.9;4;105;75;2230;14.5;78;1
30.7;6;145;76;3160;19.6;81;8
30.5;4;98;63;2051;17;77;16
30.5;4;97;78;2190;14.1;77;7
30;4;98;68;2155;16.5;78;7
30;4;97;67;1985;16.4;77;16
30;4;88;76;2065;14.5;71;7
30;4;79;70;2074;19.5;71;7
30;4;146;67;3250;21.8;80;8
30;4;135;84;2385;12.9;81;4
30;4;111;80;2155;14.8;77;7
29.9;4;98;65;2380;20.7;81;4
29.8;4;89;62;1845;15.3;80;18
29.8;4;134;90;2711;15.5;80;14
29.5;4;98;68;2135;16.6;78;7
29.5;4;97;71;1825;12.2;76;18
29;4;98;83;2219;16.5;74;1
29;4;97;78;1940;14.5;77;16
29;4;97;75;2171;16;75;7
29;4;90;70;1937;14.2;76;16
29;4;90;70;1937;14;75;16
29;4;85;52;2035;22.2;76;16
29;4;68;49;1867;19.5;73;18
29;4;135;84;2525;16;82;9
28.8;6;173;115;2595;11.3;79;9
28.4;4;151;90;2670;16;79;14
28.1;4;141;80;3230;20.4;81;8
28;4;98;80;2164;15;72;7
28;4;97;92;2288;17;72;1
28;4;97;75;2155;16.4;76;7
28;4;90;75;2125;14.5;74;7
28;4;151;90;2678;16.5;80;14
28;4;140;90;2264;15.5;71;1
28;4;120;79;2625;18.6;82;9
28;4;116;90;2123;14;71;7
28;4;112;88;2605;19.6;82;9
28;4;107;86;2464;15.5;76;4
27.9;4;156;105;2800;14.4;80;13
27.5;4;134;95;2560;14.2;78;9
27.4;4;121;80;2670;15;79;14
27.2;4;141;71;3190;24.8;79;8
27.2;4;135;84;2490;15.7;81;9
27.2;4;119;97;2300;14.7;78;1
27;4;97;88;2130;14.5;71;7
27;4;97;88;2130;14.5;70;7
27;4;97;88;2100;16.5;72;7
27;4;97;60;1834;19;71;18
27;4;151;90;2950;17.3;82;13
27;4;151;90;2735;18;82;14
27;4;140;86;2790;15.6;82;13
27;4;112;88;2640;18.6;82;14
27;4;101;83;2202;15.3;76;1
26.8;6;173;115;2700;12.9;79;14
26.6;8;350;105;3725;19;81;15
26.6;4;151;84;2635;16.4;81;14
26.5;4;140;72;2565;13.6;76;9
26.4;4;140;88;2870;18.1;80;13
26;4;98;90;2265;15.5;73;1
26;4;98;79;2255;17.7;76;1
26;4;97;78;2300;14.5;74;1
26;4;97;75;2265;18.2;77;1
26;4;97;46;1950;21;73;16
26;4;97;46;1835;20.5;70;18
26;4;96;69;2189;18;72;7
26;4;91;70;1955;20.5;71;16
26;4;79;67;1963;15.5;74;16
26;4;156;92;2585;14.5;82;9
26;4;122;80;2451;16.5;74;4
26;4;121;113;2234;12.5;70;1
26;4;116;75;2246;14;74;1
26;4;108;93;2391;15.5;74;4
25.8;4;156;92;2620;14.4;81;9
25.5;4;140;89;2755;15.8;77;14
25.5;4;122;96;2300;15.5;77;1
25.4;6;168;116;2900;12.6;81;13
25.4;5;183;77;3530;20.1;79;10
25.1;4;140;88;2720;15.4;78;14
25;6;181;110;2945;16.4;82;13
25;4;97.5;80;2126;17;72;7
25;4;90;71;2223;16.5;75;1
25;4;140;92;2572;14.9;76;9
25;4;140;75;2542;17;74;9
25;4;121;115;2671;13.5;75;14
25;4;116;81;2220;16.9;76;1
25;4;113;95;2228;14;71;1
25;4;110;87;2672;17.5;70;14
25;4;104;95;2375;17.5;70;4
24.5;4;98;60;2164;22.1;76;7
24.5;4;151;88;2740;16;77;14
24.3;4;151;90;3003;20.1;80;11
24.2;6;146;120;2930;13.8;81;13
24;6;200;81;3012;17.6;76;11
24;4;90;75;2108;15.5;74;7
24;4;140;92;2865;16.4;82;13
24;4;134;96;2702;13.5;75;14
24;4;121;110;2660;14;73;14
24;4;120;97;2489;15;74;9
24;4;119;97;2545;17;75;9
24;4;116;75;2158;15.5;73;7
24;4;113;95;2372;15;70;4
24;4;113;95;2278;15.5;72;1
24;4;107;90;2430;14.5;70;4
23.9;8;260;90;3420;22.2;79;17
23.9;4;119;97;2405;14.9;78;4
23.8;4;151;85;2855;17.6;78;13
23.7;3;70;100;2420;12.5;80;4
23.5;6;173;110;2725;12.6;81;14
23.2;4;156;105;2745;16.7;78;14
23;8;350;125;3900;17.4;79;5
23;6;198;95;2904;16;73;13
23;4;97;54;2254;23.5;72;1
23;4;140;83;2639;17;75;14
23;4;140;78;2592;18.5;75;9
23;4;122;86;2220;14;71;1
23;4;120;97;2506;14.5;72;9
23;4;120;88;2957;17;75;13
23;4;115;95;2694;15;75;14
22.5;6;232;90;3085;17.6;76;11
22.4;6;231;110;3415;15.8;81;17
22.3;4;140;88;2890;17.3;79;13
22;6;250;105;3353;14.5;76;17
22;6;232;112;2835;14.7;82;13
22;6;225;100;3233;15.4;76;8
22;6;198;95;2833;15.5;70;13
22;6;146;97;2815;14.5;77;13
22;4;140;72;2408;19;71;4
22;4;122;86;2395;16;72;4
22;4;121;98;2945;14.5;75;13
22;4;121;76;2511;18;72;9
22;4;108;94;2379;16.5;73;4
21.6;4;121;115;2795;15.7;78;13
21.5;6;231;115;3245;15.4;79;8
21.5;4;121;110;2600;12.8;77;9
21.5;3;80;110;2720;13.5;77;14
21.1;4;134;95;2515;14.8;78;9
21;6;231;110;3039;15;75;11
21;6;200;85;2587;16;70;9
21;6;199;90;2648;15;70;14
21;6;155;107;2472;14;73;4
21;4;140;72;2401;19.5;73;4
21;4;122;86;2226;16.5;72;1
21;4;120;87;2979;19.5;72;13
20.8;6;200;85;3070;16.7;78;11
20.6;6;231;105;3380;15.8;78;17
20.6;6;225;110;3360;16.6;79;17
20.5;6;231;105;3425;16.9;77;17
20.5;6;225;100;3430;17.2;78;17
20.5;6;200;95;3155;18.2;78;8
20.3;5;131;103;2830;15.9;78;13
20.2;8;302;139;3570;12.8;78;10
20.2;6;232;90;3265;18.2;79;8
20.2;6;200;88;3060;17.1;81;11
20.2;6;200;85;2965;15.8;78;11
20;8;262;110;3221;13.5;75;8
20;6;232;100;2914;16;75;13
20;6;225;100;3651;17.7;76;10
20;6;198;95;3102;16.5;74;11
20;6;156;122;2807;13.5;73;13
20;4;97;88;2279;19;73;1
20;4;140;90;2408;19.5;72;4
20;4;130;102;3150;15.7;76;8
20;4;114;91;2582;14;73;9
19.9;8;260;110;3365;15.5;78;17
19.8;6;200;85;2990;18.2;79;11
19.4;8;318;140;3735;13.2;78;15
19.4;6;232;90;3210;17.2;78;8
19.2;8;305;145;3425;13.2;78;17
19.2;8;267;125;3605;15;79;10
19.2;6;231;105;3535;19.2;78;10
19.1;6;225;90;3381;18.7;80;17
19;6;250;88;3302;15.5;71;8
19;6;250;100;3282;15;71;8
19;6;232;90;3211;17;75;8
19;6;232;100;2901;16;74;13
19;6;232;100;2634;13;71;14
19;6;225;95;3264;16;75;8
19;6;225;100;3630;17.7;77;10
19;6;156;108;2930;15.5;76;13
19;4;122;85;2310;18.5;73;1
19;4;121;112;2868;15.5;73;13
19;4;120;88;3270;21.9;76;8
19;3;70;97;2330;13.5;72;4
18.6;6;225;110;3620;18.7;78;10
18.5;8;360;150;3940;13;79;5
18.5;6;250;98;3525;19;77;10
18.5;6;250;110;3645;16.2;76;10
18.2;8;318;135;3830;15.2;79;5
18.1;8;302;139;3205;11.2;78;8
18.1;6;258;120;3410;15.1;78;17
18;8;318;150;3436;11;70;17
18;8;307;130;3504;12;70;10
18;6;258;110;2962;13.5;71;11
18;6;250;88;3139;14.5;71;8
18;6;250;88;3021;16.5;73;11
18;6;250;78;3574;21;76;10
18;6;250;105;3459;16;75;17
18;6;232;100;3288;15.5;71;8
18;6;232;100;2945;16;73;11
18;6;232;100;2789;15;73;13
18;6;225;95;3785;19;75;15
18;6;225;105;3613;16.5;74;10
18;6;225;105;3121;16.5;73;8
18;6;199;97;2774;15.5;70;14
18;6;171;97;2984;14.5;75;11
18;4;121;112;2933;14.5;72;13
18;3;70;90;2124;13.5;73;7
17.7;6;231;165;3445;13.4;78;17
17.6;8;302;129;3725;13.4;79;15
17.6;6;225;85;3465;16.6;81;17
17.5;8;318;140;4080;13.7;78;12
17.5;8;305;145;3880;12.5;77;5
17.5;8;305;140;4215;13;76;19
17.5;6;258;95;3193;17.8;76;8
17.5;6;250;110;3520;16.4;77;10
17;8;305;130;3840;15.4;79;5
17;8;304;150;3672;11.5;72;15
17;8;302;140;3449;10.5;70;17
17;8;260;110;4060;19;77;12
17;6;250;100;3329;15.5;71;17
17;6;231;110;3907;21;75;5
17;6;163;125;3140;13.6;78;8
16.9;8;350;155;4360;14.9;79;3
16.5;8;351;138;3955;13.2;79;5
16.5;8;350;180;4380;12.1;76;3
16.5;6;168;120;3820;16.7;76;15
16.2;6;163;133;3410;15.8;78;17
16;8;400;230;4278;9.5;73;19
16;8;400;180;4220;11.1;77;19
16;8;400;170;4668;11.5;75;6
16;8;351;149;4335;14.5;77;3
16;8;318;150;4498;14.5;75;3
16;8;318;150;4190;13;76;19
16;8;304;150;3433;12;70;17
16;8;302;140;4141;14;74;12
16;6;258;110;3632;18;74;10
16;6;250;105;3897;18.5;75;5
16;6;250;100;3781;17;74;15
16;6;250;100;3278;18;73;8
16;6;225;105;3439;15.5;71;17
15.5;8;400;190;4325;12.2;77;3
15.5;8;351;142;4054;14.3;79;12
15.5;8;350;170;4165;11.4;77;12
15.5;8;318;145;4140;13.7;77;12
15.5;8;304;120;3962;13.9;76;5
15;8;429;198;4341;10;70;3
15;8;400;150;3761;9.5;70;15
15;8;390;190;3850;8.5;70;5
15;8;383;170;3563;10;70;10
15;8;350;165;3693;11.5;70;15
15;8;350;145;4440;14;75;3
15;8;350;145;4082;13;73;12
15;8;318;150;4135;13.5;72;12
15;8;318;150;3777;12.5;73;15
15;8;318;150;3399;11;73;17
15;8;304;150;3892;12.5;72;5
15;8;302;130;4295;14.9;77;19
15;6;258;110;3730;19;75;15
15;6;250;72;3432;21;75;17
15;6;250;72;3158;19.5;75;8
15;6;250;100;3336;17;74;17
14.5;8;351;152;4215;12.8;76;19
14;8;455;225;4425;10;70;3
14;8;455;225;3086;10;70;11
14;8;454;220;4354;9;70;3
14;8;440;215;4312;8.5;70;3
14;8;400;175;4464;11.5;71;3
14;8;400;175;4385;12;72;3
14;8;351;153;4154;13.5;71;12
14;8;351;153;4129;13;72;12
14;8;351;148;4657;13.5;75;6
14;8;350;165;4209;12;71;19
14;8;340;160;3609;8;70;10
14;8;318;150;4457;13.5;74;3
14;8;318;150;4237;14.5;73;19
14;8;318;150;4096;13;71;12
14;8;318;150;4077;14;72;12
14;8;304;150;4257;15.5;74;19
14;8;304;150;3672;11.5;73;15
14;8;302;140;4638;16;74;6
14;8;302;137;4042;14.5;73;12
13;8;440;215;4735;11;73;6
13;8;400;190;4422;12.5;72;3
13;8;400;175;5140;12;71;2
13;8;400;170;4746;12;71;6
13;8;400;150;4464;12;73;3
13;8;360;175;3821;11;73;5
13;8;360;170;4654;13;73;6
13;8;351;158;4363;13;73;3
13;8;350;175;4100;13;73;12
13;8;350;165;4274;12;72;19
13;8;350;155;4502;13.5;72;3
13;8;350;150;4699;14.5;74;6
13;8;350;145;4055;12;76;12
13;8;350;145;3988;13;73;5
13;8;318;150;3940;13.2;76;5
13;8;318;150;3755;14;76;15
13;8;307;130;4098;14;72;12
13;8;302;140;4294;16;72;19
13;8;302;130;3870;15;76;5
13;8;302;129;3169;12;75;8
12;8;455;225;4951;11;73;2
12;8;429;198;4952;11.5;73;2
12;8;400;167;4906;12.5;73;2
12;8;383;180;4955;11.5;71;2
12;8;350;180;4499;12.5;73;3
12;8;350;160;4456;13.5;72;3
11;8;429;208;4633;11;72;6
11;8;400;150;4997;14;73;2
11;8;350;180;3664;11;73;15
11;8;318;210;4382;13.5;70;3
10;8;360;215;4615;14;70;6
10;8;307;200;4376;15;70;3
9;8;304;193;4732;18.5;70;6
